sep=,
time,Centar
2019-12-1 00:00:00,45.8659
2019-12-2 00:00:00,73.3848
2019-12-3 00:00:00,
2019-12-4 00:00:00,
2019-12-5 00:00:00,90.1675
2019-12-6 00:00:00,114.411
2019-12-7 00:00:00,122.341
2019-12-8 00:00:00,85.0405
2019-12-9 00:00:00,61.4557
2019-12-10 00:00:00,42.2075
2019-12-11 00:00:00,23.6686
2019-12-12 00:00:00,76.2344
2019-12-13 00:00:00,83.8462
2019-12-14 00:00:00,63.8204
2019-12-15 00:00:00,105.762
2019-12-16 00:00:00,108.771
2019-12-17 00:00:00,68.5997
2019-12-18 00:00:00,43.5085
2019-12-19 00:00:00,52.5284
2019-12-20 00:00:00,60.6107
2019-12-21 00:00:00,78.3418
2019-12-22 00:00:00,49.2212
2019-12-23 00:00:00,33.2863
2019-12-24 00:00:00,6.0527
2019-12-25 00:00:00,15.823
2019-12-26 00:00:00,15.7419
2019-12-27 00:00:00,24.4735
2019-12-28 00:00:00,12.3226
2019-12-29 00:00:00,8.6768
2019-12-30 00:00:00,18.7409
2019-12-31 00:00:00,82.1425
