STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
135880,99999, 20150729,   84.5, 8,   60.3, 8, 1006.5, 8,  973.2, 8,   6.2, 8,   6.1, 7,   7.8, 999.9,   99.9 ,  68.0 , 0.00I,999.9, 000000,
135880,99999, 20150730,   86.1, 8,   59.5, 8, 1006.4, 8,  973.2, 8,   6.2, 8,   5.8, 8,   9.7, 999.9,  103.1 ,  72.0 , 0.00I,999.9, 000000,
135880,99999, 20150731,   80.0, 8,   60.5, 8, 1009.7, 8,  976.0, 8,   6.2, 8,   7.0, 8,   9.7, 999.9,   95.0 ,  72.5*, 0.00E,999.9, 000000,
135880,99999, 20150801,   80.3, 7,   60.3, 7, 1014.1, 7,  980.0, 7,   8.0, 7,   5.3, 7,   7.8, 999.9,   93.6 ,  66.0*, 0.00E,999.9, 000000,
135880,99999, 20150802,   84.9, 6,   65.0, 6, 1014.3, 6,  980.8, 6,   8.3, 6,   7.8, 6,  19.4, 999.9,   95.9*,  71.1*, 0.00E,999.9, 000000,
135880,99999, 20150803,   78.6, 8,   64.4, 8, 1015.2, 8,  981.3, 8,   6.2, 8,   6.8, 6,   9.7, 999.9,   90.7 ,  70.9*, 0.00F,999.9, 000000,
135880,99999, 20150804,   78.8, 7,   60.3, 7, 1013.0, 7,  979.1, 7,   6.2, 7,   5.8, 7,   9.7, 999.9,   93.2 ,  67.3 , 0.00F,999.9, 000000,
135880,99999, 20150805,   75.8, 7,   62.4, 7, 1012.3, 7,  978.6, 7,   7.1, 7,   7.2, 7,   9.7, 999.9,   99.0 ,  68.0 , 0.00F,999.9, 000000,
135880,99999, 20150806,   76.8, 6,   61.8, 6, 1013.6, 6,  979.7, 6,   8.3, 6,   6.5, 6,   9.7, 999.9,   94.1 ,  68.5 , 0.04F,999.9, 000000,
135880,99999, 20150807,   79.6, 8,   57.7, 8, 1014.5, 8,  980.3, 8,   6.2, 8,   7.0, 8,   9.7, 999.9,   96.4 ,  69.6*, 0.00F,999.9, 000000,
135880,99999, 20150808,   81.5, 8,   51.7, 8, 1015.5, 8,  981.6, 8,   6.2, 8,   6.3, 8,   9.7, 999.9,   94.3 ,  68.0 , 0.00G,999.9, 000000,
135880,99999, 20150809,   78.6, 8,   53.4, 8, 1015.2, 8,  981.2, 8,   7.0, 8,   7.0, 8,   9.7, 999.9,   92.7 ,  65.5 , 0.00G,999.9, 000000,
135880,99999, 20150810,   79.4, 8,   50.8, 8, 1012.2, 8,  978.3, 8,   7.8, 8,   3.9, 5,   5.8, 999.9,   94.3*,  64.0 , 0.00F,999.9, 000000,
135880,99999, 20150811,   81.1, 7,   52.5, 7, 1011.0, 7,  977.3, 7,   6.2, 7,   7.2, 7,  13.6, 999.9,   95.4 ,  66.6 , 0.00F,999.9, 000000,
135880,99999, 20150812,   83.0, 8,   53.4, 8, 1012.3, 7,  978.6, 7,   6.2, 8,   6.3, 8,   9.7, 999.9,   97.2*,  68.9 , 0.00E,999.9, 000000,
135880,99999, 20150813,   79.1, 8,   54.2, 8, 1011.4, 8,  977.8, 8,   6.2, 8,   6.6, 8,   7.8, 999.9,   97.9 ,  70.9 , 0.00G,999.9, 000000,
135880,99999, 20150814,   80.7, 8,   57.1, 8, 1010.2, 8,  976.5, 8,   6.2, 8,   5.0, 7,   7.8, 999.9,   97.5 ,  66.4 , 0.00G,999.9, 000000,
135880,99999, 20150815,   80.5, 8,   57.7, 8, 1008.6, 8,  975.0, 8,   4.8, 8,   5.3, 7,   9.7, 999.9,   97.5 ,  66.9 , 0.00G,999.9, 000000,
135880,99999, 20150816,   80.1, 8,   59.7, 8, 1007.4, 8,  973.7, 8,   6.2, 8,   4.7, 7,   7.8, 999.9,   94.3*,  67.1 , 0.24F,999.9, 010000,
135880,99999, 20150817,   74.2, 8,   57.9, 8, 1008.9, 8,  974.8, 8,   6.2, 8,   8.0, 7,  13.6, 999.9,   90.0 ,  65.3 , 3.35F,999.9, 010000,
135880,99999, 20150818,   74.5, 8,   53.0, 8, 1010.8, 8,  976.7, 8,   7.0, 8,   6.1, 8,   9.7, 999.9,   89.8 ,  58.6 , 0.00G,999.9, 000000,
135880,99999, 20150819,   77.7, 8,   56.4, 8, 1011.3, 8,  977.4, 8,   9.3, 8,   6.8, 8,  13.6, 999.9,   92.3 ,  63.7 , 0.00G,999.9, 000000,
135880,99999, 20150820,   72.7, 8,   56.1, 8, 1013.5, 8,  979.3, 8,   8.5, 8,   8.3, 8,  13.6, 999.9,   88.7 ,  57.4*, 0.00H,999.9, 010000,
135880,99999, 20150821,   70.5, 8,   56.0, 8, 1016.9, 8,  982.3, 8,   8.5, 8,   7.0, 8,  15.5, 999.9,   85.1 ,  60.1 , 0.00G,999.9, 010000,
135880,99999, 20150822,   67.8, 8,   56.7, 8, 1015.9, 8,  981.1, 8,   7.8, 8,   7.3, 8,  11.7, 999.9,   77.2 ,  60.8 , 0.02G,999.9, 000000,
135880,99999, 20150823,   70.7, 8,   54.4, 8, 1014.2, 8,  979.8, 8,   7.8, 8,   5.8, 7,   7.8, 999.9,   83.5 ,  60.6 , 0.00G,999.9, 000000,
135880,99999, 20150824,   73.2, 8,   53.6, 8, 1015.3, 8,  981.1, 8,   6.2, 8,   4.1, 8,   5.8, 999.9,   89.1 ,  59.9 , 0.00F,999.9, 000000,
135880,99999, 20150825,   75.8, 8,   56.5, 8, 1016.3, 8,  981.7, 8,   6.2, 8,   4.1, 8,   5.8, 999.9,   92.7 ,  59.9 , 0.00G,999.9, 000000,
135880,99999, 20150826,   78.2, 8,   59.7, 8, 1015.9, 8,  982.0, 8,   7.0, 8,   6.1, 7,   7.8, 999.9,   92.5 ,  64.4 , 0.00G,999.9, 000000,
135880,99999, 20150827,   78.5, 8,   55.7, 8, 1017.4, 7,  983.2, 7,   7.0, 8,   4.2, 7,   7.8, 999.9,   94.1 ,  66.4 , 0.00G,999.9, 000000,
135880,99999, 20150828,   77.8, 8,   52.1, 8, 1018.3, 8,  984.0, 8,   6.2, 8,   5.3, 7,   7.8, 999.9,   96.8 ,  62.6 , 0.00G,999.9, 000000,
135880,99999, 20150829,   79.2, 8,   50.2, 8, 1019.5, 7,  985.7, 8,   7.0, 8,   5.1, 8,   7.8, 999.9,   97.2 ,  62.6 , 0.00F,999.9, 000000,
135880,99999, 20150830,   80.8, 7,   49.5, 7, 1020.2, 7,  986.1, 7,   6.2, 7,   6.7, 7,  11.7, 999.9,   95.5 ,  65.5*, 0.00E,999.9, 000000,
135880,99999, 20150831,   79.9, 8,   53.6, 8, 1017.7, 8,  983.7, 8,   6.0, 8,   4.2, 7,   7.8, 999.9,   97.0 ,  65.1 , 0.00G,999.9, 000000,
135880,99999, 20150901,   80.9, 8,   52.5, 8, 1013.1, 8,  979.2, 8,   6.2, 8,   5.6, 8,   9.7, 999.9,   98.1 ,  65.7 , 0.00G,999.9, 000000,
135880,99999, 20150902,   77.9, 7,   49.9, 7, 1010.6, 7,  976.7, 7,   7.1, 7,   6.1, 7,   7.8, 999.9,   99.0 ,  65.8 , 0.00G,999.9, 000000,
135880,99999, 20150903,   82.0, 8,   51.4, 8, 1010.1, 8,  976.5, 8,   7.3, 8,   5.8, 6,   9.7, 999.9,   99.5 ,  66.9 , 0.00F,999.9, 000000,
135880,99999, 20150904,   81.3, 8,   51.1, 8, 1011.6, 8,  977.9, 8,   6.2, 8,   4.1, 8,   5.8, 999.9,   97.7 ,  66.4 , 0.00G,999.9, 000000,
135880,99999, 20150905,   81.3, 8,   50.7, 8, 1011.8, 8,  978.0, 8,   6.2, 8,   4.6, 8,   7.8, 999.9,   96.8 ,  64.4 , 0.00G,999.9, 000000,
135880,99999, 20150906,   77.0, 8,   55.5, 8, 1012.1, 7,  977.7, 8,   6.2, 8,   9.7, 8,  13.6, 999.9,   95.4 ,  65.7*, 0.07G,999.9, 010000,
135880,99999, 20150907,   68.8, 8,   49.4, 8, 1016.8, 8,  982.0, 8,   6.2, 8,   5.5, 7,   9.7, 999.9,   78.8*,  59.4 , 0.00G,999.9, 000000,
135880,99999, 20150908,   65.2, 7,   41.1, 7, 1018.6, 7,  983.5, 7,   6.2, 7,   8.9, 7,  11.7, 999.9,   77.0 ,  58.5 , 0.00G,999.9, 000000,
135880,99999, 20150909,   63.9, 7,   47.7, 7, 1017.3, 7,  982.2, 7,   6.2, 7,   7.2, 7,  11.7, 999.9,   72.7 ,  58.8*, 0.00G,999.9, 010000,
